name,calories,protein,totalCarbohydrates,sugars,dietaryFibers,totalFat,saturatedFat,monoUnsaturatedFat,polyUnsaturatedFat,cholestrol,vitaminA,vitaminC,vitaminD,calcium,iron,potassium,sodium
"Hot chocolate / Cocoa, made with dry mix and non-dairy milk",84,2.18,15.47,12.31,0.7,1.57,0.436,0.586,0.487,0,61,0,0.9,148,0.46,175,117
"Hot chocolate / Cocoa, made with no sugar added dry mix and water",31,1.28,5.94,3.11,0.6,0.25,0.147,0.081,0.007,0,0,0,0,50,0.41,224,75
"Hot chocolate / Cocoa, made with no sugar added dry mix and whole milk",85,4.26,10.08,7.45,0.6,3.18,1.853,0.711,0.106,11,30,0,1,159,0.4,355,105
"Hot chocolate / Cocoa, made with no sugar added dry mix and reduced fat milk",76,4.33,10.3,7.52,0.6,1.99,1.164,0.447,0.06,7,77,0.2,1,162,0.4,363,106
"Hot chocolate / Cocoa, made with no sugar added dry mix and low fat milk",70,4.35,10.56,7.59,0.6,1.12,0.665,0.272,0.037,5,54,0,1,162,0.4,363,106
"Hot chocolate / Cocoa, made with no sugar added dry mix and fat free milk",62,4.4,10.28,7.67,0.6,0.32,0.188,0.094,0.013,3,59,0,1,168,0.4,371,108
"Hot chocolate / Cocoa, made with no sugar added dry mix and non-dairy milk",64,2.61,10.43,6.88,0.8,1.35,0.272,0.514,0.508,0,65,0,0.9,184,0.72,302,124
"Strawberry milk, NFS",52,3.33,5.35,5.29,0,1.9,1.111,0.404,0.059,8,81,0.2,1.1,128,0,157,40
"Strawberry milk, whole",85,3.04,11.82,11.68,0,2.97,1.719,0.636,0.1,11,30,0,1,114,0.03,139,38
"Strawberry milk, reduced fat",71,3.15,10.71,10.46,0,1.8,1.042,0.375,0.054,8,78,0.2,1,118,0.03,150,39
"Strawberry milk, low fat",69,3.13,12.3,11.82,0,0.89,0.525,0.194,0.03,5,54,0,1,117,0.03,147,39
"Strawberry milk, fat free",61,3.18,12.03,11.9,0,0.09,0.045,0.016,0.006,3,59,0,1,122,0.03,155,41
"Strawberry milk, reduced sugar",50,3.31,7.08,6.86,0,0.94,0.557,0.206,0.031,5,57,0,1.1,124,0,156,38
"Strawberry milk, non-dairy",63,1.39,12.2,11.12,0.2,1.13,0.13,0.438,0.503,0,65,0,1,139,0.35,87,57
"Milk, malted",64,3.2,8.67,7.82,0,1.91,1.114,0.408,0.062,8,115,2.4,1.4,159,0.71,150,60
Eggnog,88,4.55,8.05,8.05,0,4.19,2.591,1.302,0.198,59,59,1.5,1.2,130,0.2,165,54
"Milk shake, home recipe, chocolate",119,3.48,13.55,12.57,0.5,6.14,3.725,1.64,0.222,20,64,0.3,0.8,118,0.35,187,52
"Milk shake, home recipe, flavors other than chocolate",112,3.36,11.41,10.66,0.2,5.98,3.616,1.5,0.231,23,63,0.2,0.8,125,0.03,167,53
"Milk shake, home recipe, chocolate, light",97,3.99,12.93,12.42,0.3,3.31,2.007,0.907,0.111,14,63,0.5,0.7,138,0.26,163,51
"Milk shake, home recipe, flavors other than chocolate, light",92,3.88,13.84,11.07,0.1,2.33,1.408,0.591,0.099,13,83,0.4,0.7,138,0.07,176,51
Milk shake with malt,124,3.77,13.66,12.04,0.2,6.11,3.659,1.525,0.276,23,63,0.3,0.8,131,0.06,190,66
